strain,sxx_GPa
-0.00000,-0.08107
0.00100,0.17086
0.00200,0.21997
0.00300,0.30305
0.00400,0.14075
0.00500,0.08028
0.00600,0.07326
0.00700,0.13203
0.00800,0.30975
0.00900,0.40581
0.01000,0.50787
0.01100,0.40888
0.01200,0.48957
0.01300,0.34396
0.01400,0.36333
0.01500,0.45353
0.01600,0.53903
0.01700,0.61111
0.01800,0.66050
0.01900,0.73942
0.02000,0.68684
0.02100,0.65300
0.02200,0.64191
0.02300,0.76205
0.02400,0.81990
0.02500,0.87334
0.02600,0.91801
0.02700,0.94852
0.02800,0.96445
0.02900,0.97888
0.03000,0.88328
0.03100,1.04706
0.03200,1.01907
0.03300,1.12797
0.03400,1.19130
0.03500,1.17015
0.03600,1.21139
0.03700,1.24205
0.03800,1.26421
0.03900,1.30396
0.04000,1.34156
0.04100,1.43255
0.04200,1.31891
0.04300,1.37452
0.04400,1.45686
0.04500,1.45314
0.04600,1.57839
0.04700,1.59781
0.04800,1.53992
0.04900,1.50746
0.05000,1.58513
0.05100,1.62071
0.05200,1.67963
0.05300,1.80635
0.05400,1.84763
0.05500,1.72822
0.05600,1.70447
0.05700,1.80586
0.05800,1.80426
0.05900,1.86680
0.06000,1.97150
0.06100,1.96613
0.06200,1.91692
0.06300,1.95456
0.06400,2.01661
0.06500,1.93861
0.06600,1.99187
0.06700,2.12369
0.06800,2.07879
0.06900,2.21585
0.07000,2.23093
0.07100,2.17502
0.07200,2.09487
0.07300,2.16190
0.07400,2.20204
0.07500,2.24083
0.07600,2.41041
0.07700,2.32343
0.07800,2.33074
0.07900,2.27843
0.08000,2.27450
0.08100,2.41517
0.08200,2.37996
0.08300,2.41610
0.08400,2.50549
0.08500,2.38135
0.08600,2.41959
0.08700,2.35019
0.08800,2.52577
0.08900,2.55884
0.09000,2.47953
0.09100,2.49863
0.09200,2.57935
0.09300,2.58035
0.09400,2.52652
0.09500,2.61205
0.09600,2.60629
0.09700,2.59373
0.09800,2.76197
0.09900,2.77513
0.10000,2.68466
0.10100,2.66186
0.10200,2.65608
0.10300,2.58733
0.10400,2.73557
0.10500,2.87396
0.10600,2.94260
0.10700,2.82658
0.10800,2.71922
0.10900,2.59885
0.11000,2.73643
0.11100,2.91273
0.11200,2.92322
0.11300,2.92392
0.11400,2.88026
0.11500,2.70822
0.11600,2.74821
0.11700,2.79879
0.11800,2.82440
0.11900,2.97219
0.12000,3.01580
0.12100,2.98784
0.12200,2.89706
0.12300,2.80963
0.12400,2.76174
0.12500,2.72982
0.12600,2.88525
0.12700,2.99185
0.12800,3.04697
0.12900,2.91820
0.13000,2.93903
0.13100,2.78524
0.13200,2.79853
0.13300,2.91985
0.13400,2.94114
0.13500,2.96541
0.13600,2.97820
0.13700,2.87102
0.13800,2.68935
0.13900,2.73145
0.14000,2.60924
0.14100,2.62989
0.14200,2.73650
0.14300,2.78855
0.14400,2.65745
0.14500,2.63121
0.14600,2.52760
0.14700,2.39149
0.14800,2.46016
0.14900,2.48662
0.15000,2.54366
0.15100,2.50181
0.15200,2.38342
0.15300,2.32454
0.15400,2.15476
0.15500,1.97757
0.15600,2.00855
0.15700,1.94557
0.15800,1.84827
0.15900,1.71371
0.16000,1.67712
0.16100,1.55961
0.16200,1.44651
0.16300,1.43395
0.16400,1.40980
0.16500,1.34725
0.16600,1.27833
0.16700,1.23011
0.16800,1.22149
0.16900,1.19102
0.17000,1.16477
0.17100,1.15430
0.17200,1.16582
0.17300,1.01594
0.17400,1.01538
0.17500,1.00135
0.17600,1.08525
0.17700,1.07204
0.17800,1.00425
0.17900,1.03753
0.18000,1.14359
0.18100,1.05178
0.18200,1.04085
0.18300,0.96182
0.18400,0.94118
0.18500,1.08931
0.18600,1.12655
0.18700,1.18839
0.18800,1.11277
0.18900,1.12976
0.19000,1.07756
0.19100,1.05320
0.19200,1.06195
0.19300,1.07046
0.19400,1.04631
0.19500,1.09617
0.19600,1.05767
0.19700,1.07153
0.19800,1.05615
0.19900,1.07140
0.20000,0.94778
